method,loss,demand_mismatch,uncovered_demand_penalty,length_penalty,overlap_penalty,total_length,covered_demand_share,num_potentially_circular_routes
baseline,0.11550284679529073,0.18565962682667836,0.10626702997275217,0.059179898010286024,0.014925373134328358,1235.145578099206,0.8937329700272478,0
ga,0.04210855407881105,0.059818975543157654,0.0,0.07600881692487263,0.05970149253731343,1586.3824926665293,1.0,2
