method,loss,demand_mismatch,uncovered_demand_penalty,length_penalty,overlap_penalty,total_length,covered_demand_share,num_potentially_circular_routes
baseline,0.1312106957784323,0.226455121984247,0.18528610354223474,0.038441640602438924,0.0,902.6063241325589,0.8147138964577653,0
ga,0.038270177570694584,0.07933700339845379,0.005449591280654031,0.04692961652446635,0.017241379310344827,1101.9032486717467,0.994550408719346,0
llm,0.10444015755131095,0.15469118098944998,0.005449591280654031,0.09251594514087234,0.18947368421052632,2172.266215972954,0.994550408719346,1
